course,prof,gpa
444,"Li, Xiuling",3.3895044291764322
444,"Lyding, Joseph W",3.338337935181039
444,"Sievers, Dane J",3.4740976236859167
444,"Choquette, Kent D",2.4211576354679805
444,"Coleman, James J",3.275006613756614
445,"Fliflet, Arne W",3.1772191778373826
445,"Kumar, Rakesh",3.0387422948959326
445,"Reinhard, Karl E",3.215669291338583
445,"Oelze, Michael L",3.2141813885014723
445,"Makela, Jonathan J",3.10700847868217
445,"Carney, Paul S",3.0733187991389435
445,"Singer, Andrew C",3.168915662650602
445,"Swenson, Gary R",3.341086956521739
447,"Gong, Songbin",3.713448275862069
447,"Feng, Milton",3.5154545454545456
450,"Kudeki, Erhan",3.3190714285714287
450,"Koksal, Adnan",3.1149999999999998
450,"Makela, Jonathan J",3.2254999999999994
450,"Franke, Patricia M",3.246521739130435
450,"Eden, James G",3.4681081081081078
451,"Schutt-Aine, Jose E",3.7044747173116743
452,"Chew, Weng C",3.6239130434782614
452,"Cangellaris, Andreas C",3.5599999999999996
453,"Franke, Steven J",3.15003845694451
454,"Kudeki, Erhan",3.7268181818181816
454,"Bernhard, Jennifer T",3.35484273538961
455,"Eden, James G",3.1785078648440717
456,"Gao, Xingxin",3.1491499999999997
456,"Makela, Jonathan J",3.425673076923077
457,"Gong, Songbin",3.3561371237458193
457,"Bernhard, Jennifer T",3.2860714285714288
458,"Kudeki, Erhan",3.29
459,"Alvarez, Juan",3.163180641821946
459,"Basar, Tangul",3.4033333333333338
459,"Schmitz, Christopher",3.207636363636363
460,"Popescu, Gabriel",3.8095238095238093
461,"Viswanath, Pramod",3.2313043478260868
462,"Vasudevan, Shobha",3.225230743881122
462,"Chen, Deming",3.0070833333333336
462,"Patel, Janak H",3.2927692307692307
464,"Stillwell, Andrew R",3.2982142857142853
464,"Banerjee, Arijit",3.1050573671497586
464,"Pilawa Podgursk, Robert C",2.9874058600108517
464,"Krein, Philip T",3.0070768317853456
464,"Pilawa, Robert",3.0480325814536338
468,"Waldrop, Lara",3.445804195804196
469,"Stillwell, Andrew R",3.747142857142857
469,"Banerjee, Arijit",3.6429302325581396
469,"Pilawa Podgursk, Robert C",3.434117125110914
469,"Krein, Philip T",3.6516895417422863
469,"Pilawa, Robert",3.424431818181818
